,site_id,site_name,hourly_rain,elevation,ts_updated,latitude,longitude
76,5052,"Mambajao, Camiguin AWS",0,8,2024-09-25 23:40:00,,
77,5053,"Talisayan, Misamis Oriental AWS",1,208,2024-09-19 10:45:00,,
78,5054,"Nasipit, Agusan del Norte AWS",0,43,2024-09-25 23:40:00,,
79,5057,"Nabunturan, Davao de Oro AWS",0,83,2024-09-25 23:40:00,,
80,5058,"Tagum, Davao del Norte AWS",0,22,2024-09-25 23:40:00,,
81,5059,"Kabacan, Cotabato AWS",0,25.8,2024-09-25 23:40:00,,
82,5060,"Tantangan, South Cotabato AWS",8,36,2024-09-25 23:40:00,,
83,5061,"Valencia, Bukidnon AWS",0,295.93,2024-09-25 23:40:00,,
84,5068,"RTR Philrice, Agusan del Norte AWS",0,10,2024-09-25 23:40:00,,
85,5072,"Naval, Biliran AWS",0,52,2024-09-25 23:40:00,,
86,5076,"Maddela, Quirino AWS",0,169.05,2024-09-25 23:40:00,,
87,5077,Apayao AWS,0,26.634,2024-09-25 23:40:00,,
88,5079,"San Jacinto, Ticao Island, Masbate AWS",0,38,2024-09-25 23:40:00,,
89,5081,"Hinunangan, Southern Leyte AWS",0,5.215,2024-09-25 23:40:00,,
90,5104,"Sta Ana, Cagayan AWS",0,4.414,2024-09-25 23:40:00,,
91,5105,"Aparri, Cagayan AWS",0,3.666,2024-09-25 23:40:00,18.359444,121.630278
92,5106,"Palanan, Isabela AWS",0,123,2024-09-25 23:40:00,,
93,5107,Baler Synoptic Station AWS,0,177.803,2024-09-25 23:40:00,,
94,5110,Dagupan Pangasinan AWS,0,2.265,2024-09-25 23:40:00,,
95,5112,Tagaytay AWS,0,663,2024-09-25 23:40:00,,
96,5113,Ambulong Tanauan Batangas AWS,0,14.217,2024-09-25 23:40:00,,
97,5114,"Tayabas, Quezon AWS",0,153.426,2024-09-25 23:30:00,14.014722,121.601944
98,5116,"Taal, Batangas AWS",0,69.575,2024-09-15 16:25:00,,
99,5117,"Lipa, Batangas AWS",0,326.945,2024-09-25 23:40:00,,
100,5118,"Mabini, Batangas AWS",0,51.268,2024-09-25 23:33:00,,
101,5120,"Puerto Galera, Mindoro Oriental AWS",0,4,2024-09-25 23:40:00,,
102,5121,"Sta Cruz, Mindoro Occidental AWS",0,3.845,2024-09-25 23:40:00,,
103,5122,"Calapan, Mindoro Oriental AWS",0,35.2,2024-09-25 23:40:00,13.409722,121.189444
104,5123,"Coron, Palawan AWS",0,42,2024-09-25 23:30:00,12.003611,120.199722
105,5124,"Puerto Princesa, Palawan AWS",0,15,2024-09-23 17:40:00,9.740278,118.758611
106,5126,Juban Sorsogon Synoptic,0,18,2024-09-25 23:40:00,,
107,5128,Legazpi AWS,0,16,2024-09-25 23:40:00,,
108,5129,"Milagros, Masbate AWS",0,38,2024-09-25 23:40:00,,
109,5130,Catarman Northern Samar AWS,0,5.014,2024-09-25 23:40:00,,
110,5131,"Tacloban, Leyte AWS",0,1.27,2024-09-25 10:20:00,11.225556,125.024722
111,5132,"Maasin, Southern Leyte AWS",0,62.681,2024-09-25 23:40:00,10.138889,124.860278
112,5135,"Dalaguete, Cebu AWS",0,778,2024-09-25 23:40:00,,
113,5136,Iloilo Radar Station AWS,0,4.807,2024-09-25 23:40:00,,
114,5138,"Mactan, Cebu AWS",0.5,23,2024-09-25 23:40:00,10.322222,123.98
115,5140,Surigao Synoptic Station AWS,0,38,2024-09-25 23:40:00,,
116,5141,"Butuan, Agusan del Norte AWS",0,13,2024-09-25 16:30:00,8.946944,125.482222
117,5142,"Hinatuan, Surigao del Sur",0,20,2024-09-25 23:40:00,8.366389,126.337778
118,5143,Sindangan Zamboanga del Norte,0,8.755,2024-09-25 23:40:00,,
119,5144,Malaybalay Bukidnon AWS,0,600.52,2024-09-25 23:40:00,,
120,5145,"Maasim, Sarangani AWS",0,3.6,2024-09-25 23:40:00,,
121,5147,Davao City AWS,0,16.97,2024-09-25 23:40:00,,
122,5148,"Bago Oshiro, Talomo, Davao City AWS",0,79,2024-09-25 23:40:00,,
123,5149,Gen. Santos City AWS,0,129,2024-09-25 23:40:00,,
124,5150,"Kiamba, Sarangani AWS",0,4,2024-09-25 23:40:00,,
125,5151,Zamboanga City AWS,0,6.032,2024-09-25 23:40:00,,
126,5155,"Calayan, Cagayan AWS",0,17,2024-09-25 23:40:00,19.266667,121.471111
127,5156,"Pagudpud, Ilocos Norte AWS",0,170,2024-09-25 23:40:00,,
128,5157,"Bangui, Ilocos Norte",0,125,2024-09-25 23:40:00,,
129,5158,"Tabuk, Kalinga AWS",0,230,2024-09-24 01:00:00,,
130,5159,"Maconacon, Isabela AWS",0,9,2024-09-25 23:40:00,,
131,5160,"Dilasag, Aurora AWS",0,26,2024-09-25 23:40:00,,
132,5161,"Hermosa, Bataan AWS",0,49.7,2024-09-25 23:40:00,,
133,5162,"Mulanay, Quezon AWS",0,48,2024-09-25 23:30:00,,
134,5163,"Garchitorena, Camarines Sur AWS",0,18,2024-09-25 23:40:00,,
135,5164,"Villaba, Leyte AWS",0,5,2024-09-25 23:30:00,,
136,5166,"Tuburan, Cebu AWS",0,41,2024-09-25 23:30:00,,
137,5167,"Camotes Island, Poro, Cebu AWS",0,2,2024-09-25 23:30:00,,
138,5170,"Cauayan, Negros Occidental AWS",0,9.8,2024-09-25 23:30:00,,
139,5172,Dumaguete Synop Station,6.5,10,2024-09-25 23:30:00,,
140,5174,"Lanuza, Surigao del Sur AWS",0,12,2024-09-25 23:30:00,,
141,5175,"Loreto, Agusan del Sur AWS",0,26,2024-09-25 23:40:00,,
142,5176,"Baganga, Davao Oriental AWS",0,20,2024-09-25 23:30:00,,
143,5177,"Don Marcelino, Davao Occidental AWS",0,22,2024-09-25 23:30:00,,
144,5178,"Esperanza, Sultan Kudarat AWS",0,44,2024-09-25 23:40:00,,
145,5179,"Senator Ninoy Aquino, Sultan Kudarat AWS",0,661,2024-09-25 23:30:00,,
146,5180,"Libungan, North Cotabato AWS",0,109,2024-09-25 23:40:00,,
147,5181,"Glan, Sarangani AWS",0,62,2024-09-25 23:30:00,,
148,5182,"Lanise, Claveria, Mis. Oriental",0,975.5,2024-09-25 23:40:00,,
149,5183,"Laguindingan, Misamis Oriental AWS",0,63.5,2024-09-25 23:40:00,,
150,5184,"Musuan, Bukidnon AWS",0.5,301.82,2024-09-25 23:40:00,,
151,5185,"Lantapan, Bukidnon AWS",0,569.91,2024-09-25 23:40:00,,
152,5186,"Kabasalan, Zamboanga Sibugay AWS",0,3.906,2024-09-25 23:30:00,,
153,5187,"La Libertad, Zamboanga del Norte AWS",0,175.78,2024-09-25 23:40:00,,
154,5188,"Sirawai, Zamboanga del Norte AWS",0,3.416,2024-09-25 23:30:00,,
155,5189,"Pagadian City, Zamboanga del Sur AWS",0,192.637,2024-09-25 23:40:00,,
156,5190,"Dumingag, Zamboanga del Sur AWS",0,60.005,2024-09-25 23:40:00,,
157,5191,"Pitogo, Zamboanga del Sur AWS",0,10.278,2024-09-25 23:40:00,,
158,5192,"Tupi, South Cotabato AWS",0,456,2024-09-25 23:00:00,,
